id,type,processing_level,bias_adjust_institution,bias_adjust_project,mip_era,activity,driving_institution,driving_model,institution,source,experiment,member,xrfreq,frequency,variable,domain,date_start,date_end,version,format,path
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp126_r1i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp126,r1i1p1f1,D,day,"('tas',)",example-region,2000-01-01 00:00,2050-12-31 00:00,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp126/r1i1p1f1/day/ScenarioMIP_NCC_NorESM2-MM_ssp126_r1i1p1f1_gn_raw.nc
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp126_r1i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp126,r1i1p1f1,fx,fx,"('sftlf',)",example-region,,,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp126/r1i1p1f1/fx/ScenarioMIP_NCC_NorESM2-MM_ssp126_r1i1p1f1_gn_raw.nc
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp245_r1i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp245,r1i1p1f1,D,day,"('tas',)",example-region,2000-01-01 00:00,2050-12-31 00:00,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp245/r1i1p1f1/day/ScenarioMIP_NCC_NorESM2-MM_ssp245_r1i1p1f1_gn_raw.nc
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp245_r1i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp245,r1i1p1f1,fx,fx,"('sftlf',)",example-region,,,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp245/r1i1p1f1/fx/ScenarioMIP_NCC_NorESM2-MM_ssp245_r1i1p1f1_gn_raw.nc
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp245_r2i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp245,r2i1p1f1,D,day,"('tas',)",example-region,2000-01-01 00:00,2050-12-31 00:00,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp245/r2i1p1f1/day/ScenarioMIP_NCC_NorESM2-MM_ssp245_r2i1p1f1_gn_raw.nc
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp245_r2i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp245,r2i1p1f1,fx,fx,"('sftlf',)",example-region,,,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp245/r2i1p1f1/fx/ScenarioMIP_NCC_NorESM2-MM_ssp245_r2i1p1f1_gn_raw.nc
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp370_r1i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp370,r1i1p1f1,D,day,"('tas',)",example-region,2000-01-01 00:00,2050-12-31 00:00,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp370/r1i1p1f1/day/ScenarioMIP_NCC_NorESM2-MM_ssp370_r1i1p1f1_gn_raw.nc
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp370_r1i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp370,r1i1p1f1,fx,fx,"('sftlf',)",example-region,,,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp370/r1i1p1f1/fx/ScenarioMIP_NCC_NorESM2-MM_ssp370_r1i1p1f1_gn_raw.nc
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp585_r1i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp585,r1i1p1f1,D,day,"('tas',)",example-region,2000-01-01 00:00,2050-12-31 00:00,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp585/r1i1p1f1/day/ScenarioMIP_NCC_NorESM2-MM_ssp585_r1i1p1f1_gn_raw.nc
CMIP6_ScenarioMIP_NCC_NorESM2-MM_ssp585_r1i1p1f1_example-region,simulation,raw,,,CMIP6,ScenarioMIP,,,NCC,NorESM2-MM,ssp585,r1i1p1f1,fx,fx,"('sftlf',)",example-region,,,,nc,samples/tutorial/ScenarioMIP/example-region/NCC/NorESM2-MM/ssp585/r1i1p1f1/fx/ScenarioMIP_NCC_NorESM2-MM_ssp585_r1i1p1f1_gn_raw.nc
